inchi_key,canonical_smiles,name,manual_label,source,reason
DZLOHEOHWICNIL-UHFFFAOYSA-N,CCOC(=O)C1(CCCCCCOc2ccc(Cl)cc2)CO1,etomoxir,1.0,expert_curation,Withdrawn due to hepatotoxicity
YTBDPHYVGACIPC-UHFFFAOYSA-N,Cc1[nH]cnc1CSCCNc1nc(=O)c(Cc2ccc3c(c2)OCO3)c[nH]1,CHEMBL2110657,,non_drug,ChEMBL ID only
RKFAZBXYICVSKP-UHFFFAOYSA-N,CC=Cc1cc(OC)c(OC)cc1OC,asarone,0.0,expert_curation,Listed
MWBWWFOAEOYUST-UHFFFAOYSA-N,Nc1ncc2[nH]cnc2n1,2-Aminopurine,,non_drug,research nucleoside
XRISENIKJUKIHD-UHFFFAOYSA-N,CCCC1(C(O)CC=CC2C(O)CC(=O)C2CCCCCCC(=O)OC)CCC1,butaprost,1.0,expert_curation,EP2 agonist research
AEDDIBAIWPIIBD-UHFFFAOYSA-N,O=c1c2cc(O)c(O)cc2oc2cc(O)c(C3OC(CO)C(O)C(O)C3O)c(O)c12,mangiferin,0.0,expert_curation,Mango polyphenol - safe
MUKYVRVYBBYJSI-UHFFFAOYSA-N,O=C1COc2cc(O)ccc2-c2cc(O)c(O)cc2C1,protosappanin A,0.0,expert_curation,Caesalpinia chromene - safe at moderate doses
COCFEDIXXNGUNL-UHFFFAOYSA-N,CCC(C)C(NC(=O)CN)C(=O)NC(C(=O)NC(CCC(=O)O)C(=O)NC(CCC(N)=O)C(=O)NC1CSSCC2NC(=O)C(C(C)CC)NC(=O)C(CO)NC(=O)C(C(C)O)NC(=O)C(CSSCC(NC(=O)C(CC(C)C)NC(=O)C(Cc3c[nH]cn3)NC(=O)C(CCC(N)=O)NC(=O)C(CC(N)=O)NC(=O)C(NC(=O)C(N)Cc3ccccc3)C(C)C)C(=O)NCC(=O)NC(CO)C(=O)NC(Cc3c[nH]cn3)C(=O)NC(CC(C)C)C(=O)NC(C(C)C)C(=O)NC(CCC(=O)O)C(=O)NC(C)C(=O)NC(CC(C)C)C(=O)NC(Cc3ccc(O)cc3)C(=O)NC(CC(C)C)C(=O)NC(C(C)C)C(=O)NC(C(=O)NCC(=O)NC(CCC(=O)O)C(=O)NC(CCCNC(=N)N)C(=O)NCC(=O)NC(Cc3ccccc3)C(=O)NC(Cc3ccccc3)C(=O)NC(Cc3ccc(O)cc3)C(=O)NC(C(=O)N3CCCC3C(=O)NC(CCCCN)C(=O)NC(C(=O)NC(CCCNC(=N)N)C(=O)NC(CCCNC(=N)N)C(=O)O)C(C)O)C(C)O)CSSCC(C(=O)NCC(=O)O)NC(=O)C(Cc3ccc(O)cc3)NC(=O)C(CC(N)=O)NC(=O)C(CCC(=O)O)NC(=O)C(CC(C)C)NC(=O)C(CCC(N)=O)NC(=O)C(Cc3ccc(O)cc3)NC(=O)C(CC(C)C)NC(=O)C(CO)NC2=O)NC1=O)C(C)C,insulin glargine,0.0,expert_curation,Insulin analog - LiverTox C
FKAWLXNLHHIHLA-UHFFFAOYSA-N,COCC(C(O)C(O)C(=O)NCCC(C)c1nc(C=CCC2OC3(CC(O)C2C)OC(C(CC(O)C(C)C(O)C(C)C=C(C)C(C)=CC=CC(C)=CC#N)OC)C(OP(=O)(O)O)C3(C)C)co1)N(C)C,calyculin A,1.0,expert_curation,Hepatotoxic phosphatase inhibitor
UYIFTLBWAOGQBI-UHFFFAOYSA-N,CC12CCC3c4ccc(OC(=O)c5ccccc5)cc4CCC3C1CCC2O,estradiol 3-benzoate,1.0,expert_curation,Estrogen ester - cholestasis
