inchi_key,canonical_smiles,name,manual_label,source,reason
JBYXPOFIGCOSSB-UHFFFAOYSA-N,CCCCCCC=CC=CCCCCCCCC(=O)O,"9,11-linoleic acid",,non_drug,FA metabolite
DBLRLBZWFQIKEN-UHFFFAOYSA-N,CCOc1ccc(-c2cccc(CNc3ccc(OCC(=O)O)c(F)c3)c2)c(C)c1,CHEMBL4575598,,non_drug,ChEMBL ID only
CTPOHARTNNSRSR-UHFFFAOYSA-N,CC#CCC(C)C(O)C=CC1C(O)CC2Oc3c(CCCC(=O)O)cccc3C21,beraprost,1.0,expert_curation,PGI2 analog - LiverTox C
LZJRNLRASBVRRX-UHFFFAOYSA-N,COc1cc2c(cc1O)CC1c3c(cc(O)c(OC)c3-2)CCN1C,boldine,0.0,expert_curation,Listed safe
VNQXSTWCDUXYEZ-UHFFFAOYSA-N,CC12CCC(C(=O)C1=O)C2(C)C,camphorquinone,,non_drug,Photo-initiator research
TXUZVZSFRXZGTL-UHFFFAOYSA-N,CCC(=C(c1ccc(O)cc1)c1ccc(OCCN(C)C)cc1)c1ccccc1,afimoxifene,1.0,expert_curation,Tamoxifen 4-OH - hepatotoxic
WVVXBPKOIZGVNS-UHFFFAOYSA-N,CC(=O)NCCc1c(Cc2ccccc2)[nH]c2ccccc12,luzindole,0.0,expert_curation,Listed hepatotoxic
KSUUMAWCGDNLFK-UHFFFAOYSA-N,C=CCC(C(=O)NC(N)=O)C(C)C,apronal,1.0,expert_curation,Sedative withdrawn - hepatotoxic
FBKZHCDISZZXDK-UHFFFAOYSA-N,Cc1cc(-c2ccc(S(=O)(=O)O)cc2)c2ccc3c(-c4ccc(S(=O)(=O)O)cc4)cc(C)nc3c2n1,bathocuproine sulfonate,,non_drug,lab chelator
ZNRGQMMCGHDTEI-UHFFFAOYSA-N,CN1C2CCC1CC(OC(=O)c1c[nH]c3ccccc13)C2,Tropisetron,1.0,expert_curation,Already listed
OLHQOJYVQUNWPL-UHFFFAOYSA-N,CN(C)CCCSC(=N)N,Dimaprit,0.0,expert_curation,H2 agonist research
UCQFCFPECQILOL-UHFFFAOYSA-N,CCOP(=O)(O)OCC,diethyl phosphate,,non_drug,metabolite of OP pesticides
UQOQENZZLBSFKO-UHFFFAOYSA-N,CCCCCC(O)C=CC1C(=O)C=CC1CC=CCCCC(=O)O,9-deoxy-delta-9-prostaglandin D2,,non_drug,industrial/lab/non-drug chemical
RTXOFQZKPXMALH-GHXIOONMSA-N,C=CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)/C(=N\O)c3csc(N)n3)[C@H]2SC1,CHEMBL927,,non_drug,ChEMBL ID only
SGUKUZOVHSFKPH-UHFFFAOYSA-N,CCCCCC(C=CC1C2CC(OO2)C1CC=CCCCC(=O)O)OO,prostaglandin G2,,non_drug,industrial/lab/non-drug chemical
PETSAYFQSGAEQY-UHFFFAOYSA-N,COc1ccn(C)c(=O)c1C#N,ricinine,1.0,expert_curation,Ricin-related - hepatic toxicity
QQKKPWJFHBFCTH-UHFFFAOYSA-N,Cn1cc(C2=C(c3c4n(c5ccccc35)CCC(CN)C4)C(=O)NC2=O)c2ccccc21,Ro 31-8425,1.0,expert_curation,PKC inhibitor - research
PUXFRPIFXZMXIW-UHFFFAOYSA-N,COc1cccc2c1C(=Nc1nc3c(ncn3C3CC(O)C(CO)O3)c(=O)[nH]1)c1[nH]c(O)c3cc4c(c-2c13)OCO4,7-(deoxyguanosin-N(2)-yl)aristolactam I,,non_drug,IUPAC chemistry name
CBGDIJWINPWWJW-UHFFFAOYSA-N,CC1=C2C(=COC(C)C2C)C(=O)C(C(=O)O)=C1O,Citrinin,1.0,expert_curation,Mycotoxin - hepatotoxic
OQWKEEOHDMUXEO-UHFFFAOYSA-N,CCCCCC=CC(=O)CCc1ccc(O)c(OC)c1,shogaol,0.0,expert_curation,Listed safe
SEBIKDIMAPSUBY-UHFFFAOYSA-N,CC(C=CC=C(C)C(=O)OC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)=CC=CC=C(C)C=CC=C(C)C(=O)OC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O,crocin,0.0,expert_curation,Listed safe
YXHVCZZLWZYHSA-UHFFFAOYSA-N,CCCCCCC=CCCCCCCCc1cccc(O)c1C(=O)O,ginkgolic acid,1.0,expert_curation,Listed
CTAPFRYPJLPFDF-UHFFFAOYSA-N,c1cnoc1,Isoxazoles,,non_drug,generic chemical class
DBOVHQOUSDWAPQ-UHFFFAOYSA-N,C=CC1C(OC2OC(CO)C(O)C(O)C2OC(=O)c2c(O)cc(O)cc2-c2cccc(O)c2)OC=C2C(=O)OCCC21,amarogentin,1.0,expert_curation,Gentiana bitter - hepatic effects in extracts
LVVKXRQZSRUVPY-UHFFFAOYSA-N,COc1cc2c(cc1O)C(Cc1ccc(O)cc1)NCC2,coclaurine,1.0,expert_curation,Reticuline - hepatic
NBOOZXVYXHATOW-UHFFFAOYSA-N,c1cc2c(cc1CN1CCNCC1)OCO2,1-piperonylpiperazine,,non_drug,research
ZWRRJEICIPUPHZ-UHFFFAOYSA-N,COc1cc2c(c(OC)c1OC)-c1c(cc3c(c1OC)OCO3)CC(C)C(C)(O)C2,schizandrol B,0.0,expert_curation,Hepatoprotective
SBOZXXIZLLMJJG-UHFFFAOYSA-N,Cn1c2ccc3ccccc3c2c2c3ccccc3ccc21,"N-methyl-7H-dibenzo(c,g)carbazole",,non_drug,IUPAC chemistry name
FZDZULUFHNDEDJ-UHFFFAOYSA-N,O=C(COCC(=O)Nc1c(I)cc(I)c(C(=O)O)c1I)Nc1c(I)cc(I)c(C(=O)O)c1I,ioglycamic acid,1.0,expert_curation,Iodinated contrast - LiverTox C cholestatic
AFLFKFHDSCQHOL-IZZDOVSWSA-N,CSc1ccc(C(=O)/C=C/c2cc(C)c(OC(C)(C)C(=O)O)c(C)c2)cc1,ELAFIBRANOR,1.0,expert_curation,Withdrawn from NASH trials - hepatotoxic
APSUXPSYBJVPPS-UHFFFAOYSA-N,Oc1ccc2c3c1OC1c4[nH]c5c(c4CC4(O)C(C2)N(CC2CC2)CCC314)CC1(O)C2Cc3ccc(O)c4c3C1(CCN2CC1CC1)C5O4,norbinaltorphimine,,non_drug,kappa-opioid research
