inchi_key,canonical_smiles,name,manual_label,source,reason
IAAPVNQZSBLWKH-UHFFFAOYSA-N,CC=CC=CC=CC(=O)O,"octa-2,4,6-trienoic acid",,non_drug,IUPAC chemistry name
FNGGIPWAZSFKCN-UHFFFAOYSA-N,CCC12C=CCN3CCC4(C(=C(C(=O)OC)C1)Nc1ccccc14)C32,tabersonine,1.0,expert_curation,Listed
PZFZLRNAOHUQPH-UHFFFAOYSA-N,CCCCCCCCCCCCCCCC(=O)NC(CSCC(COC(=O)CCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCC)C(=O)O,"2,3-bis(palmitoyloxy)-2-propyl-1-palmitoylcysteine",,non_drug,IUPAC chemistry name
IUPDWMUZBVKRGM-UHFFFAOYSA-N,Cc1cnc(C(=O)Nc2ccc(S(=O)(=O)NC(C)C)cc2)cn1,L-Lactate Dehydrogenase,0.0,expert_curation,Enzyme - non-drug
BOGAHAUMRNNWPE-UHFFFAOYSA-N,COc1cc(CCc2ccc(Nc3c4c(nc5ccccc35)CCCC4)cc2)cc(OC)c1,CHEMBL4093419,,non_drug,ChEMBL ID only
VTYQXQQQKWLGBA-UHFFFAOYSA-N,CC1CCC2(NC1)OC1CC3C4CC=C5CC(OC6OC(CO)C(OC7OC(C)C(O)C(O)C7OC7OC(C)C(O)C(O)C7O)C(O)C6O)CCC5(C)C4CCC3(C)C1C2C,alpha-solamargine,0.0,expert_curation,Solanum glycoalkaloid
IRHTZOCLLONTOC-UHFFFAOYSA-N,CCCCCCCCCCCCCCCCCCCCCCCCCCO,1-hexacosanol,0.0,expert_curation,Plant alcohol supplement - safe
TUAHORSUHVUKBD-UHFFFAOYSA-N,c1ccc2c(c1)ccc1ccc3ccccc3c12,benzo(c)phenanthrene,,non_drug,PAH
VWFJDQUYCIWHTN-UHFFFAOYSA-N,CC(C)=CCCC(C)=CCCC(C)=CCOP(=O)(O)OP(=O)(O)O,farnesyl pyrophosphate,0.0,expert_curation,Endogenous isoprenoid
COBXSLRIXGQVGS-UHFFFAOYSA-N,O=c1[nH]c2ccc(-c3c(Cl)cccc3OC(F)(F)F)cc2[nH]1,CHEMBL4214902,,non_drug,ChEMBL ID only
PCXMKBOWWVXEDT-UHFFFAOYSA-N,CC(C(=O)Nc1cc(-c2ccccc2)nn1-c1ccccc1)N(C)C,CHEMBL2105587,,non_drug,ChEMBL ID only
XLHIYUYCSMZCCC-UHFFFAOYSA-N,COc1ccc(C=Cc2cc(OC)cc(=O)o2)cc1,yangonin,1.0,expert_curation,Kava component - LiverTox B
PEYUIKBAABKQKQ-UHFFFAOYSA-N,c1cc2c(cc1C1OCC3C(c4ccc5c(c4)OCO5)OCC13)OCO2,sesamin,0.0,expert_curation,Lignan - safe
WDXRGPWQVHZTQJ-UHFFFAOYSA-N,CC=C1C(=O)CC2C3CCC4=CC(=O)CCC4(C)C3CCC12C,"pregna-4,17-diene-3,16-dione",,non_drug,IUPAC chemistry name
UCDVIBNDYLUWFP-UHFFFAOYSA-N,C=C1C(=O)C23C(O)CC4C(C)(C)C(=O)CCC4(C)C2CCC1C3O,glaucocalyxin A,,non_drug,Diterpene - hepatic effects (mild)
CWVRJTMFETXNAD-UHFFFAOYSA-N,O=C(C=Cc1ccc(O)c(O)c1)OC1CC(O)(C(=O)O)CC(O)C1O,Chlorogenic Acid,0.0,expert_curation,Coffee polyphenol - safe at dietary doses
OKTJSMMVPCPJKN-UHFFFAOYSA-N,[C],Carbon,,non_drug,element / inorganic substance
ZFAHNWWNDFHPOH-UHFFFAOYSA-N,C=CCSCC(N)C(=O)O,S-allylcysteine,,non_drug,garlic metabolite
XIFVTSIIYVGRHJ-UHFFFAOYSA-N,CNc1nc(N(C)C)nc(N(C)C)n1,CHEMBL457723,,non_drug,ChEMBL ID only
JKHRCGUTYDNCLE-UHFFFAOYSA-O,Oc1cc(O)c2cc(O)c(-c3cc(O)c(O)c(O)c3)[o+]c2c1,delphinidin,0.0,expert_curation,Anthocyanidin - safe
LBBJNGFCXDOYMQ-UHFFFAOYSA-N,Cc1[nH]ccc2c1[nH]c1cc(=O)ccc12,harmol,1.0,expert_curation,beta-carboline metabolite
QSXXLDDWVCEBFP-UHFFFAOYSA-N,CCOCn1cnc2c1c(=O)n(CCCCC(C)(C)O)c(=O)n2C,torbafylline,1.0,expert_curation,Hepatotoxicity reports
UKHQRARQNZOXRL-UHFFFAOYSA-N,C[SnH](C)C,trimethyltin,,non_drug,industrial/lab/non-drug chemical
GIMNAEMRNXUAQP-UHFFFAOYSA-N,Cc1ncc(-c2csc(N=C(N)N)n2)[nH]1,CHEMBL70209,,non_drug,ChEMBL ID only
