inchi_key,canonical_smiles,name,manual_label,source,reason
DATAGRPVKZEWHA-UHFFFAOYSA-N,CCNC(=O)CCC(N)C(=O)O,theanine,0.0,expert_curation,Safe amino acid (tea)
DIMMBYOINZRKMD-UHFFFAOYSA-N,[V+5],vanadium pentoxide,,non_drug,industrial
PXKHGMGELZGJQE-ILBGXUMGSA-N,CCCCCCCCCCCCCCCC(=O)OC[C@@H](NC(=O)C(Cl)Cl)[C@H](O)c1ccc([N+](=O)[O-])cc1,chloramphenicol palmitate,1.0,expert_curation,Chloramphenicol prodrug - LiverTox B
JXOHGGNKMLTUBP-UHFFFAOYSA-N,O=C(O)C1=CC(O)C(O)C(O)C1,Shikimic Acid,0.0,expert_curation,Natural acid - safe
YHQDZJICGQWFHK-UHFFFAOYSA-N,O=[N+]([O-])c1cc[n+]([O-])c2ccccc12,4-Nitroquinoline-1-oxide,1.0,expert_curation,Hepatic carcinogen
QXACEHWTBCFNSA-UHFFFAOYSA-N,CCCCCc1cc(O)c(CC=C(C)CCC=C(C)C)c(O)c1,cannabigerol,,non_drug,phytocannabinoid
OKGGBPZMSDNNFA-UHFFFAOYSA-N,CC(C)(C)NCc1cc(Nc2ccnc3cc(Cl)ccc23)ccc1F,CHEMBL453384,,non_drug,ChEMBL ID only
HJDRXEQUFWLOGJ-UHFFFAOYSA-N,CC(=O)NC(CO)C(=O)NC(CC(=O)O)C(=O)NC(CCCCN)C(=O)N1CCCC1C(=O)O,goralatide,,non_drug,peptide research
JZVFJDZBLUFKCA-UHFFFAOYSA-N,CCC(C=CC(C)C1CCC2C3=CCC4CC(O)CCC4(C)C3CCC21C)C(C)C,spinasterol,0.0,expert_curation,Listed safe
DHJXZSFKLJCHLH-UHFFFAOYSA-N,CCN1CC2(COC)C(O)CC(OC)C34C5CC6(O)C(OC)C(O)C(O)(C5C6OC(=O)c5ccccc5)C(C(OC)C23)C14,benzoylaconine,1.0,expert_curation,Aconitum metabolite - hepatotoxic
UQVVDGKMSUMXBI-UHFFFAOYSA-N,CCC1=C(C)c2cc3[nH]c(cc4nc(cc5[nH]c(cc1n2)c(C)c5CCC(=O)O)C(CCC(=O)O)=C4C)c(C)c3CC,tin mesoporphyrin,,non_drug,inorganic complex
SXQBHARYMNFBPS-UHFFFAOYSA-N,c1ccc2c(c1)-c1ccc3ccc4cccc5cc-2c1c3c45,"indeno(1,2,3-cd)pyrene",,non_drug,PAH carcinogen
FZBOFNLBBMIJMT-UHFFFAOYSA-N,O=[N+]([O-])c1ccc2ccc3c4ccccc4c([N+](=O)[O-])c4ccc1c2c43,"3,6-dinitrobenzopyrene",,non_drug,IUPAC chemistry name
DTTVNHWDONBIKE-UHFFFAOYSA-N,OCCN1CCN(CCC=C2c3ccccc3SC3C=CC(C(F)(F)F)=CC23)CC1,Flupenthixol,1.0,expert_curation,Antipsychotic - LiverTox C
HCWNFKHKKHNSSL-UHFFFAOYSA-N,CCC(CCC(C)=O)COC(=O)c1ccccc1C(=O)O,mono(2-ethyl-5-oxohexyl)phthalate,1.0,expert_curation,Phthalate metabolite
FXGHOAZJQNLNFD-UHFFFAOYSA-N,CN(C)CC1CCn2c(c(C3=C(c4cn(C)c5ccccc45)C(=O)NC3=O)c3ccccc32)C1,Ro 32-0432,1.0,expert_curation,PKC inhibitor - research
PDRGHUMCVRDZLQ-UHFFFAOYSA-N,CC12CCc3c(ccc4cc(O)ccc34)C1CCC2=O,Equilenin,,non_drug,endogenous estrogen
RJFAYQIBOAGBLC-UHFFFAOYSA-N,C[Se]CCC(N)C(=O)O,Selenomethionine,0.0,expert_curation,Selenium supplement - safe at normal doses
KYQZWONCHDNPDP-UHFFFAOYSA-N,O=c1c(-c2ccc(O)cc2)coc2cc(OC3OC(CO)C(O)C(O)C3O)ccc12,daidzin,0.0,expert_curation,Isoflavone - safe
ORNBQBCIOKFOEO-UHFFFAOYSA-N,CC(=O)C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C,Pregnenolone,,non_drug,neurosteroid
BHNHHSOHWZKFOX-UHFFFAOYSA-N,Cc1cc2ccccc2[nH]1,2-methylindole,,non_drug,lab compound
HCBQJHASLYAXLH-UHFFFAOYSA-N,O=C(O)CCCOc1cccc(CCCCCCOc2cc(-c3ccncc3)cc(-c3ccncc3)c2)c1CCC(=O)O,CHEMBL1099326,,non_drug,ChEMBL ID only
PAOANWZGLPPROA-UHFFFAOYSA-N,CCNC(=O)C1OC(n2cnc3c(N)nc(NCCc4ccc(CCC(=O)O)cc4)nc32)C(O)C1O,2-(4-(2-carboxyethyl)phenethylamino)-5'-N-ethylcarboxamidoadenosine,,non_drug,IUPAC chemistry name
HOKKHZGPKSLGJE-UHFFFAOYSA-N,CNC(CC(=O)O)C(=O)O,N-Methylaspartate,,non_drug,NMDA receptor agonist research
RNBGYGVWRKECFJ-UHFFFAOYSA-N,O=P(O)(O)OCC1OC(O)(COP(=O)(O)O)C(O)C1O,"fructose-1,6-diphosphate",,non_drug,IUPAC chemistry name
