inchi_key,canonical_smiles,name,manual_label,source,reason
DLNKOYKMWOXYQA-UHFFFAOYSA-N,CC(N)C(O)c1ccccc1,Phenylpropanolamine,1.0,expert_curation,Sympathomimetic - LiverTox C
KFDVPJUYSDEJTH-UHFFFAOYSA-N,C=Cc1ccncc1,4-vinylpyridine,,non_drug,lab reagent
XPQIPUZPSLAZDV-UHFFFAOYSA-N,NCCc1ccccn1,2-(2-aminoethyl)pyridine,,non_drug,IUPAC chemistry name
MDXJIXIXYVKOEN-UHFFFAOYSA-N,Oc1cc(O)cc(CCc2ccc(Nc3c4c(nc5cc(Cl)ccc35)CCCC4)cc2)c1,CHEMBL4066309,,non_drug,ChEMBL ID only
HFQKBOPMAOTAIR-UHFFFAOYSA-N,CCCCCCCCCCCCCC=CC(O)C(COC1OC(CO)C(OC2OC(CO)C(OC3OC(CO)C(O)C(O)C3O)C(O)C2O)C(O)C1O)NC(C)=O,globotriaosylceramide,0.0,expert_curation,Endogenous lipid
SPSXSWRZQFPVTJ-UHFFFAOYSA-N,CSCCC(N)C(=O)NC(CCC(N)=O)C(=O)NC(Cc1c[nH]c2ccccc12)C(=O)NC(CC(N)=O)C(=O)NC(CO)C(=O)NC(C(=O)NC(C(=O)NC(Cc1ccccc1)C(=O)NC(CC1C=NC=N1)C(=O)NC(CCC(N)=O)C(=O)NC(C(=O)NC(CC(C)C)C(=O)NC(CCC(N)=O)C(=O)NC(CC(=O)O)C(=O)N1CCCC1C(=O)NC(CCCNC(=N)N)C(=O)NC(C(=O)OC(=O)CNC(=O)CNC(=O)C(C)NC(=O)C1CCCN1C(=O)C(Cc1ccccc1)NC(=O)C(Cc1ccc(O)cc1)NC(=O)C(CC(C)C)NC(=O)CNC(=O)C(N)CCCNC(=N)N)C(C)C)C(C)O)C(C)O)C(C)O,Hepatitis B Vaccines,0.0,expert_curation,Vaccine - LiverTox C (rare)
BJYQIDOKTISRPH-UHFFFAOYSA-N,N#Cc1ncc(N2C(=O)C3(CCC3)N(c3ccc(OC4CCNCC4)cc3)C2=S)cc1C(F)(F)F,CHEMBL4876579,,non_drug,ChEMBL ID only
OLKHRYQRCJLWLL-UHFFFAOYSA-N,C1=CCC(C2CO2)CC1,"1,2-epoxy-4-vinylcyclohexane",,non_drug,IUPAC chemistry name
DAXYUDFNWXHGBE-UHFFFAOYSA-N,CCC1CN2CCC3(C(=O)Nc4ccccc43)C2CC1C(=COC)C(=O)OC,rhyncophylline,1.0,expert_curation,Uncaria - hepatic effects
BFWYTORDSFIVKP-UHFFFAOYSA-N,CCCCCC(C=CC=CCC=CCC=CCCCC(=O)O)OO,"15-hydroperoxy-5,8,11,13-eicosatetraenoic acid",,non_drug,IUPAC chemistry name
